Ad,Başrol,Bölüm sayısı,Durumu,Format,Gösterim süresi,Kanal,Senarist,Sezon sayısı,Tür,Yapım şirketi,Yapımcı,Yayın tarihi,Yönetmen,Ülke
Adım Farah,Demet ÖzdemirEngin Akyürek,27,6,Televizyon dizisi,140,FOX,Deniz Dargı (1-18)Cem Görgeç (1-18)Cenk Boğatur (1-18)Serdar Soydan (17-18)Toprak Karaoğlu (19-27)Seda Çalışır Karaoğlu (19-27),2,81,O3 Medya,Saner Ayar,1 Mart 2023 - 30 Aralık 2023,Recai Karagöz (1-21)Adem Demir (22-27),Türkiye
Aile,Kıvanç TatlıtuğSerenay Sarıkaya,26,1,Televizyon dizisi,120,Show TV,Hakan Bonomo (1-)Ali Kobanbay (14-),2,81,Ay Yapım,Kerem Çatay,7 Mart 2023 - 30 Ocak 2024,Ahmet Katıksız (1-15)Gökçen Usta (16-),Türkiye
Akif,Fikret KuşkanÖzge Borak,13,12,İnternet dizisi,56,Netflix,Uğur UzunokNurullah SevimliTacettin Girgin,1,281,Kirli Kedi,Raif İnan,7 Mayıs 2023,Selahattin Sancaklı,Türkiye
Al Sancak,Uğur GüneşGülsim Ali,19,14,Televizyon dizisi,135,TRT 1,Atilla EnginMehmet ArıSelman Kılıçaslan,1,31,Bozdağ Film,Mehmet Bozdağ,19 Ocak 2023 - 15 Haziran 2023,Can Emre (1-3)Günay Günaydın (4-19),Türkiye
Bambaşka Biri,Burak DenizHande Erçel,14,3,Televizyon dizisi,130,FOX,Ethem Özışık,1,138,TIMS&B Productions,Timur SavcıBurak Sağyaşar,11 Eylül 2023 - 13 Ocak 2024,Neslihan Yeşilyurt(1-10)Özlem Günhan (11-)Gül Sarıaltın (11-),Türkiye
Başım Belada,KeremcemMerih ÖztürkKaan Taşaner,5,6,Televizyon dizisi,130,atv,Hasan Burak Kayacı (1-5)Kemal Çelik (2-5)Aybars Bora Kahyaoğlu (2)Ahmet Özdemir (3-5),1,104,Baba Yapım,Kerem Çatay,5 Mart 2023 - 2 Nisan 2023,Hatice Memiş (1)Ulaş Cihan Şimşek (1-5)Hakan Arslan (2-5),Türkiye
Benim Güzel Ailem,Erdal ÖzyağcılarOnur BulduMelis Babadağ,22,6,Televizyon dizisi,135,TRT 1,Ayça Mutlugil (1)Nuray Uslu (1)Baykut Badem (1-22),1,23,Fabrika Yapım,Öner ArslanelRodi Kayım,21 Haziran 2023 - 6 Aralık 2023,Sadullah Celen (1-12)Levent Türkan (13-22),Türkiye
Bir Derdim Var,Birce AkalayMert Fırat,6,6,Televizyon dizisi,135,Kanal D,Yekta Torun (1-6)Deniz Gürlek (2-6)Duygu Ertekin (3-6),1,81,Ay YapımAyNA Yapım,Kerem ÇatayLale Eren,9 Kasım 2023 - 14 Aralık 2023,Burak MüjdeciÖzkan Say,Türkiye
Derin Mor,Deniz CeliloğluNilperi ŞahinkayaMurat KılıçZümre ErtürkArın KuşaksızoğluTuğçe Talu,8,12,İnternet dizisi,46,Netflix,Yeşim Aslan,1,78,Goya entertainment,Merve ZorluGüneş Çelikcan,22 Aralık 2023,Mehmet Fazıl Coşkun,Türkiye
Dilek Taşı,Salih BademciHazal SubaşıOzan Dolunay,16,3,Televizyon dizisi,135,Kanal D,Kerem Çatay,1,156,Pastel Film,Yaşar İrvülEfe İrvül,7 Eylül 2023 - günümüz,Altan Dönmez (1-6)Volkan Kocatürk (7-13)Osman Taşcı (14-),Türkiye
Dokuz Oğuz,Kubilay AkaDeniz IşınYasemin Allen,6,6,Televizyon dizisi,140,FOX,Süleyman ÇobanoğluGül Güzelkaya,1,36,Gold Film,Faruk Turgut,28 Ocak 2023 - 25 Mart 2023,Cem Akyoldaş (1-5)Bülent İşbilen (6),Türkiye
Dönence,Emre KınayCaner TopçuSümeyye AydoğanAtakan Hoşgören,14,6,Televizyon dizisi,120,Kanal D,S.A yazı GrubuNuray UsluBanu YılmazHamza AkyıldızEbru Hacıoğluİbrahim GülerMelek Ordu,1,268,D Media,Ali Cengiz Deveci,4 Temmuz 2023 - 11 Ekim 2023,Serdar Gözelekli,Türkiye
Dünya Bu,Ali Erkazan,8,6,İnternet dizisi,35,Netflix,Volkan ÖgeErman ÇağlarOzan Akyol,1,191,AC FilmAvşar Film,Caner ÖzyurtluŞükrü Avşar,17 Mart 2023 - 5 Mayıs 2023,Ömer Sinir,Türkiye
EGO,Alperen DuymazMelisa Aslı PamukAhmet KayakesenRüya Helin Demirbulut,13,6,Televizyon dizisi,130,FOX,"Gülsev Karagöz (1, 4-13)Zafer Özer Çetinel (1, 4-13)Görkem Tüzün (1, 4-13)Okan Başar Bahar (8-13)Ahmet Orçun Okşar (1, 4-5)Erkan Birgören (2-3)Elif Tuna Kıygı (2-3)",1,81,Pastel Film,Efe İrvülYaşar İrvül,5 Şubat 2023 - 21 Mayıs 2023,Doğa Can Anafarta (1-3)Şenol Sönmez (4-13),Türkiye
Gülcemal,Murat ÜnalmışMelis Sezen,13,6,Televizyon dizisi,130,FOX,Eda TezcanSelda Akın,1,81,MF Yapım,Asena Bülbüloğlu,6 Nisan 2023 - 13 Temmuz 2023,Yusuf PirhasanMerve Çolak,Türkiye
Hayatımın Neşesi,Şebnem BozokluTolga Tekin,18,6,Televizyon dizisi,120,TRT 1,Ekin Atalar,1,191,Goya Entertainment,Merve ZorluGüneş Çelikcan,7 Temmuz 2023 - 7 Kasım 2023,Şahin Altuğ,Türkiye
